College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3
Cerritos College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 250 (5.00),,
Cerritos College,UCB,MultivariableCalc,A,1,MATH 53,MATH 225 (5.00),,
Cerritos College,UCD,Calc1,A,1,MAT 021A,MATH 170 (4.00),,
Cerritos College,UCD,DataStructures,A,1,ECS 036C,CIS 292 (3.00),,
Cerritos College,UCD,DiscreteMath,A,1,ECS 020,CIS 185 (3.00),,
Cerritos College,UCD,Intro1,A,1,ECS 036A,CIS 180 (3.50),CIS 183 (3.50),CIS 280X (3.50)
Cerritos College,UCD,Intro2,A,1,ECS 036B,CIS 280X (3.50),,
Cerritos College,UCD,Organization,A,1,ECS 050,CIS 231 (3.50),,
Cerritos College,UCI,Calc1,A,1,MATH 2A,MATH 170 (4.00),,
Cerritos College,UCI,Calc2,A,1,MATH 2B,MATH 190 (4.00),,
Cerritos College,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 180 (3.50); CIS 280X (3.50),,
Cerritos College,UCLA,Calc1,A,1,MATH 31A,MATH 170 (4.00),,
Cerritos College,UCLA,Calc2,A,1,MATH 31B,MATH 190 (4.00),,
Cerritos College,UCLA,Calc3,A,1,MATH 32A,MATH 225 (5.00),,
Cerritos College,UCLA,Calc4,A,1,MATH 32B,MATH 225 (5.00),,
Cerritos College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH 250 (5.00),,
Cerritos College,UCLA,Intro,A,1,COM SCI 31,CIS 180 (3.50),,
Cerritos College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH 250 (5.00),,
Cerritos College,UCM,Calc1,A,1,MATH 021,MATH 170 (4.00),,
Cerritos College,UCM,Calc2,A,1,MATH 022,MATH 190 (4.00),,
Cerritos College,UCM,DataStructures,A,1,CSE 030,CIS 292 (3.00),,
Cerritos College,UCM,LinearAlgebra,A,1,MATH 024,MATH 250 (5.00),,
Cerritos College,UCM,VectorCalc,A,1,MATH 023,MATH 225 (5.00),,
Cerritos College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 170 (4.00); MATH 190 (4.00),,
Cerritos College,UCR,Intro1,A,1,CS 10A,CIS 180 (3.50),CIS 183 (3.50),
Cerritos College,UCR,Intro2,A,1,CS 10B,CIS 280X (3.50),,
Cerritos College,UCSB,Calc1,A,1,MATH 3A,MATH 170 (4.00),,
Cerritos College,UCSB,Calc2,A,1,MATH 3B,MATH 190 (4.00),,
Cerritos College,UCSB,DataStructures,A,1,CMPSC 24,CIS 280X (3.50); CIS 292 (3.00),,
Cerritos College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH 250 (5.00),,
Cerritos College,UCSB,DiscreteMath,A,1,CMPSC 40,CIS 185 (3.00),,
Cerritos College,UCSB,Intro,A,1,CMPSC 16,CIS 180 (3.50),,
Cerritos College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH 250 (5.00),,
Cerritos College,UCSC,Calc1,A,1,MATH 19A,MATH 170 (4.00),,
Cerritos College,UCSC,Calc2,A,1,MATH 19B,MATH 190 (4.00),,
Cerritos College,UCSC,DiscreteMath,A,1,CSE 16,CIS 185 (3.00),,
Cerritos College,UCSC,Intro,A,1,CSE 30,CIS 292 (3.00),,
Cerritos College,UCSD,Calc1,A,1,MATH 20A,MATH 170 (4.00),,
Cerritos College,UCSD,Calc2,A,1,MATH 20B,MATH 190 (4.00),,
Cerritos College,UCSD,Calc3,A,1,MATH 20C,MATH 225 (5.00),,
Cerritos College,UCSD,DataStructures,A,1,CSE 12,CIS 292 (3.00),,
Cerritos College,UCSD,DiscreteMath,A,1,CSE 20,CIS 185 (3.00),,
Cerritos College,UCSD,LinearAlgebra,A,1,MATH 18,MATH 250 (5.00),,
