College Name,UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
Porterville College,UCB,Calc1,A,1,MATH 51,MATH P103 (4.00),
Porterville College,UCB,Calc2,A,1,MATH 52,MATH P104 (4.00),
Porterville College,UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH P207 (4.00); MATH P208 (4.00),
Porterville College,UCB,MultivariableCalc,A,1,MATH 53,MATH P205 (4.00),
Porterville College,UCD,Calc1,A,1,MAT 021A,MATH P103 (4.00),
Bakersfield College,UCD,Calc1,A,1,MAT 021A; MAT 021B,MATH B6A (4.00); MATH B6B (4.00),
Bakersfield College,UCD,Calc2,A,1,MAT 021A; MAT 021B,MATH B6A (4.00); MATH B6B (4.00),
Porterville College,UCD,Calc2,A,1,MAT 021B,MATH P104 (4.00),
Porterville College,UCD,Calc3,A,2,MAT 021C; MAT 021D,MATH P205 (4.00),
Not Articulated,UCD,DataStructures,A,1,ECS 036C,Not Articulated,
Bakersfield College,UCD,DiscreteMath,A,1,ECS 020,COMP B14 (3.00),
Not Articulated,UCD,Intro1,A,1,ECS 036A,Not Articulated,
Bakersfield College,UCD,Intro2,A,1,ECS 036B,COMP B12 (3.00),
Porterville College,UCD,Linear Algebra,A,1,MAT 022A,MATH P208 (4.00),
Cerro Coso Community College,UCD,Organization,A,1,ECS 050,CSCI C257 (3.00),
Porterville College,UCI,Calc1,A,1,MATH 2A,MATH P103 (4.00),
Porterville College,UCI,Calc2,A,1,MATH 2B,MATH P104 (4.00),
Not Articulated,UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
Not Articulated,UCI,Programming,A,1,I&C SCI 45C,Not Articulated,
Not Articulated,UCI,Programming,B,1,I&C SCI 46,Not Articulated,
Porterville College,UCI,Programming,C,1,I&C SCI 51,CSC P142 (4.00),
Not Articulated,UCI,Programming,D,1,I&C SCI 53,Not Articulated,
Not Articulated,UCI,Programming,E,1,IN4MATX 43,Not Articulated,
Porterville College,UCI,Programming,F,1,I&C SCI 6B,CSC P152 (3.00),
Bakersfield College,UCI,Programming,G,1,I&C SCI 6D,COMP B14 (3.00),
Not Articulated,UCI,Programming,H,1,STATS 67,Not Articulated,
Porterville College,UCLA,Calc1,A,1,MATH 31A,MATH P103 (4.00),
Porterville College,UCLA,Calc2,A,1,MATH 31B,MATH P104 (4.00),
Porterville College,UCLA,Calc3,A,1,MATH 32A,MATH P205 (4.00),
Porterville College,UCLA,Calc4,A,1,MATH 32B,MATH P205 (4.00),
Porterville College,UCLA,DifferentialEquations,A,1,MATH 33B,MATH P207 (4.00),
Not Articulated,UCLA,DiscreteStructures,A,1,MATH 61,Not Articulated,
Bakersfield College,UCLA,Intro,A,1,COM SCI 31,COMP B12 (3.00),
Porterville College,UCLA,Intro2,A,1,COM SCI 32,ENGR P120 (4.00); ENGR P132 (3.00),
Porterville College,UCLA,Intro3,A,1,COM SCI 33,CSC P142 (4.00),
Porterville College,UCLA,LinearAlgebra,A,1,MATH 33A,MATH P208 (4.00),
Not Articulated,UCLA,SoftwareConstruction,A,1,COM SCI 35L,Not Articulated,
Porterville College,UCM,Calc1,A,1,MATH 021,MATH P103 (4.00),
Porterville College,UCM,Calc2,A,1,MATH 022,MATH P104 (4.00),
Bakersfield College,UCM,DataStructures,A,1,CSE 030,COMP B12 (3.00),
Porterville College,UCM,LinearAlgebra,A,1,MATH 024,MATH P207 (4.00); MATH P208 (4.00),
Porterville College,UCM,VectorCalc,A,1,MATH 023,MATH P205 (4.00),
Porterville College,UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH P103 (4.00); MATH P104 (4.00),
Bakersfield College,UCR,Intro1,A,1,CS 10A,ENGR B19C (4.00),COMP B11 (3.00)
Bakersfield College,UCR,Intro2,A,1,CS 10B,COMP B12 (3.00),
Porterville College,UCSB,Calc1,A,1,MATH 3A,MATH P103 (4.00),
Porterville College,UCSB,Calc2,A,1,MATH 3B,MATH P104 (4.00),
Not Articulated,UCSB,DataStructures,A,1,CMPSC 24,Not Articulated,
Porterville College,UCSB,DifferentialEquations,A,1,MATH 4B,MATH P207 (4.00),
Porterville College,UCSB,DiscreteMath,A,1,CMPSC 40,CSC P152 (3.00),
Porterville College,UCSB,Intro,A,1,CMPSC 16,ENGR P132 (3.00),
Porterville College,UCSB,LinearAlgebra,A,1,MATH 4A,MATH P208 (4.00),
Porterville College,UCSC,Calc1,A,1,MATH 19A,MATH P103 (4.00),
Porterville College,UCSC,Calc2,A,1,MATH 19B,MATH P104 (4.00),
Not Articulated,UCSC,DataStructures,A,1,CSE 12,Not Articulated,
Bakersfield College,UCSC,DiscreteMath,A,1,CSE 16,COMP B14 (3.00),
Bakersfield College,UCSC,Intro,A,1,CSE 30,COMP B12 (3.00),
Porterville College,UCSD,Calc1,A,1,MATH 20A,MATH P103 (4.00),
Porterville College,UCSD,Calc2,A,1,MATH 20B,MATH P104 (4.00),
Porterville College,UCSD,Calc3,A,1,MATH 20C,MATH P205 (4.00),
Not Articulated,UCSD,DataStructures,A,1,CSE 12,Not Articulated,
Not Articulated,UCSD,DiscreteMath,A,1,CSE 20,Not Articulated,
Not Articulated,UCSD,Intro,A,1,CSE 11,Not Articulated,
Porterville College,UCSD,LinearAlgebra,A,1,MATH 18,MATH P208 (4.00),
