UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
UCB,Calc1,A,1,MATH 51,MATH 5A (5.00),,,,
UCB,Calc2,A,1,MATH 52,MATH 5B (5.00),,,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 5C (5.00),,,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 6 (3.00); MATH 7 (3.00),,,,
UCD,DiscreteMath,A,1,ECS 020,CS 23 (4.00),MATH 23 (4.00),,,
UCD,Intro1,A,1,ECS 036A,CS 11 (4.00),CS 12GP (4.00),CS 12J (4.00),CS 20P (4.00),
UCD,Intro2,A,1,ECS 036B,CS 19 (4.00),,,,
UCD,DataStructures,A,1,ECS 036C,CS 21 (4.00),,,,
UCD,Organization,A,1,ECS 050,CS 24 (4.00),,,,
UCD,Calc1,A,1,MAT 021A,MATH 5A (5.00),,,,
UCD,Calc2,A,1,MAT 021B,MATH 5A (5.00); MATH 5B (5.00),,,,
UCD,Calc3,A,1,MAT 021C,MATH 5B (5.00); MATH 5C (5.00),,,,
UCD,Linear Algebra,A,1,MAT 022A,MATH 6 (3.00),,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 12P (4.00); CS 20P (4.00),CS 12J (4.00); CS 20J (4.00),CS 11 (4.00); CS 19 (4.00),CS 11M (4.00); CS 19 (4.00),
UCI,Calc1,A,1,MATH 2A,MATH 5A (5.00),,,,
UCI,Calc2,A,1,MATH 2B,MATH 5B (5.00),,,,
UCI,Programming,A,1,I&C SCI 45C,Not Articulated,,,,
UCI,Programming,B,1,I&C SCI 46,Not Articulated,,,,
UCI,Programming,C,1,I&C SCI 51,CS 24 (4.00),,,,
UCI,Programming,D,1,I&C SCI 53,Not Articulated,,,,
UCI,Programming,E,1,IN4MATX 43,Not Articulated,,,,
UCI,Programming,F,1,I&C SCI 6B,Not Articulated,,,,
UCI,Programming,G,1,I&C SCI 6D,CS 23 (4.00),,,,
UCI,Programming,H,1,STATS 67,Not Articulated,,,,
UCLA,Intro,A,1,COM SCI 31,CS 19 (4.00),,,,
UCLA,Intro2,A,1,COM SCI 32,CS 21 (4.00),,,,
UCLA,Intro3,A,1,COM SCI 33,Not Articulated,,,,
UCLA,SoftwareConstruction,A,1,COM SCI 35L,Not Articulated,,,,
UCLA,Calc1,A,1,MATH 31A,MATH 5A (5.00),,,,
UCLA,Calc2,A,1,MATH 31B,MATH 5B (5.00),,,,
UCLA,Calc3,A,1,MATH 32A,MATH 5C (5.00),,,,
UCLA,Calc4,A,1,MATH 32B,MATH 5C (5.00),,,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 6 (3.00),,,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 7 (3.00),,,,
UCLA,DiscreteStructures,A,1,MATH 61,MATH 23 (4.00),,,,
UCM,DataStructures,A,1,CSE 030,CS 21 (4.00),,,,
UCM,Calc1,A,1,MATH 021,MATH 5A (5.00),,,,
UCM,Calc2,A,1,MATH 022,MATH 5B (5.00),,,,
UCM,VectorCalc,A,1,MATH 023,MATH 5C (5.00),,,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 6 (3.00); MATH 7 (3.00),,,,
UCR,Intro1,A,1,CS 10A,CS 11 (4.00),CS 11M (4.00),CS 12GP (4.00),CS 12J (4.00),CS 20J (4.00)
UCR,Intro2,A,1,CS 10B,CS 19 (4.00),,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 5A (5.00); MATH 5B (5.00),,,,
UCSD,Intro,A,1,CSE 11,CS 20J (4.00),,,,
UCSD,DataStructures,A,1,CSE 12,CS 21 (4.00),,,,
UCSD,DiscreteMath,A,1,CSE 20,CS 23 (4.00),MATH 23 (4.00),,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 6 (3.00),,,,
UCSD,Calc1,A,1,MATH 20A,MATH 5A (5.00),,,,
UCSD,Calc2,A,1,MATH 20B,MATH 5B (5.00),,,,
UCSD,Calc3,A,1,MATH 20C,MATH 5C (5.00),,,,
UCSB,Calc1,A,1,MATH 3A,MATH 5A (5.00),,,,
UCSB,Calc2,A,1,MATH 3B,MATH 5B (5.00),,,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 6 (3.00),,,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 7 (3.00),,,,
UCSB,Intro,A,1,CMPSC 16,CS 11 (4.00),CS 11M (4.00),,,
UCSB,DataStructures,A,1,CMPSC 24,CS 11 (4.00); CS 21 (4.00),CS 11M (4.00); CS 21 (4.00),,,
UCSB,DiscreteMath,A,1,CMPSC 40,CS 23 (4.00),MATH 23 (4.00),,,
UCSC,Organization,A,1,CSE 12,CS 24 (4.00),,,,
UCSC,DiscreteMath,A,1,CSE 16,CS 23 (4.00),MATH 23 (4.00),,,
UCSC,Intro,A,1,CSE 30,CS 20P (4.00),CS 21 (4.00),,,
UCSC,Calc1,A,1,MATH 19A,MATH 5A (5.00),,,,
UCSC,Calc2,A,1,MATH 19B,MATH 5B (5.00),,,,
