UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2
UCB,Calc1,A,1,MATH 1A,MAT 3A (4.00),
UCB,Calc2,A,1,MATH 1B,MAT 3B (4.00),
UCB,MultivariableCalc,A,1,MATH 53,MAT 3C (4.00),
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MAT 4 (3.00); MAT 5 (3.00),
UCD,DiscreteMath,A,1,ECS 020,CSS 7 (4.00),MAT 7 (4.00)
UCD,Intro1,A,1,ECS 036A,Not Articulated,
UCD,Intro2,A,1,ECS 036B,CSS 2A (4.00),CSS 2B (4.00)
UCD,DataStructures,A,1,ECS 036C,Not Articulated,
UCD,Organization,A,1,ECS 050,Not Articulated,
UCD,Calc1,A,1,MAT 021A,MAT 3A (4.00),
UCD,Calc2,A,1,MAT 021B,MAT 3B (4.00),
UCD,Calc3,A,1,MAT 021C,MAT 3C (4.00),
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
UCI,Calc1,A,1,MATH 2A,MAT 3A (4.00),
UCI,Calc2,A,1,MATH 2B,MAT 3B (4.00),
UCLA,Intro,A,1,COM SCI 31,CSS 2A (4.00),
UCLA,Calc1,A,1,MATH 31A,MAT 3A (4.00),
UCLA,Calc2,A,1,MATH 31B,MAT 3B (4.00),
UCLA,Calc3,A,1,MATH 32A,MAT 3C (4.00),
UCLA,Calc4,A,1,MATH 32B,MAT 3C (4.00),
UCLA,LinearAlgebra,A,1,MATH 33A,MAT 4 (3.00),
UCLA,DifferentialEquations,A,1,MATH 33B,MAT 5 (3.00),
UCM,DataStructures,A,1,CSE 030,CSS 2B (4.00),
UCM,Calc1,A,1,MATH 021,MAT 3A (4.00),
UCM,Calc2,A,1,MATH 022,MAT 3B (4.00),
UCM,VectorCalc,A,1,MATH 023,MAT 3C (4.00),
UCM,LinearAlgebra,A,1,MATH 024,MAT 4 (3.00); MAT 5 (3.00),
UCM,DataStructures,A,1,CSE 030,CSS 2B (4.00),
UCR,Intro1,A,1,CS 10A,CSS 2A (4.00),CSS 4 (4.00)
UCR,Intro2,A,1,CS 10B,Not Articulated,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MAT 3A (4.00); MAT 3B (4.00),
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MAT 3A (4.00); MAT 3B (4.00),
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MAT 3A (4.00); MAT 3B (4.00),
UCSD,Intro,A,1,CSE 8B,Not Articulated,
UCSD,Intro,B,1,CSE 11,Not Articulated,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,
UCSD,DiscreteMath,A,1,CSE 20,MAT 7 (4.00),
UCSD,LinearAlgebra,A,1,MATH 18,MAT 4 (3.00),
UCSD,Calc1,A,1,MATH 20A,MAT 3A (4.00),
UCSD,Calc2,A,1,MATH 20B,MAT 3B (4.00),
UCSD,Calc3,A,1,MATH 20C,MAT 3C (4.00),
UCSB,Calc1,A,1,MATH 3A,MAT 3A (4.00),
UCSB,Calc2,A,1,MATH 3B,MAT 3B (4.00),
UCSB,LinearAlgebra,A,1,MATH 4A,MAT 4 (3.00),
UCSB,DifferentialEquations,A,1,MATH 4B,MAT 5 (3.00),
UCSB,Intro,A,1,CMPSC 16,CSS 2A (4.00),
UCSB,DataStructures,A,1,CMPSC 24,CSS 2B (4.00),
UCSB,DiscreteMath,A,1,CMPSC 40,CSS 7 (4.00),MAT 7 (4.00)
UCSC,DataStructures,A,1,CSE 12,CSS 3 (4.00),
UCSC,DiscreteMath,A,1,CSE 16,CSS 7 (4.00),
UCSC,Intro,A,1,CSE 30,CSS 2B (4.00); CSS 4 (4.00),
UCSC,Calc1,A,1,MATH 19A,MAT 3A (4.00),
UCSC,Calc2,A,1,MATH 19B,MAT 3B (4.00),
