Semester,Course,Credits,UCs Fulfilled
1,MAT 220,5.0,UCLA; UCM; UCSD
UNARTICULATED,MATH 1A,,UCB
UNARTICULATED,MATH 1B,,UCB
UNARTICULATED,MATH 53,,UCB
UNARTICULATED,MATH 54,,UCB
UNARTICULATED,ECS 020,,UCD
UNARTICULATED,ECS 036A,,UCD
UNARTICULATED,ECS 036B,,UCD
UNARTICULATED,ECS 036C,,UCD
UNARTICULATED,ECS 050,,UCD
UNARTICULATED,MAT 021A,,UCD
UNARTICULATED,MAT 021B,,UCD
UNARTICULATED,MAT 021C,,UCD
UNARTICULATED,I&C SCI 31; I&C SCI 32; I&C SCI 33,,UCI
UNARTICULATED,MATH 2A,,UCI
UNARTICULATED,MATH 2B,,UCI
UNARTICULATED,COM SCI 31,,UCLA
UNARTICULATED,MATH 31B,,UCLA
UNARTICULATED,MATH 32A,,UCLA
UNARTICULATED,MATH 32B,,UCLA
UNARTICULATED,MATH 33A,,UCLA
UNARTICULATED,MATH 33B,,UCLA
UNARTICULATED,CSE 030,,UCM
UNARTICULATED,MATH 022,,UCM
UNARTICULATED,MATH 023,,UCM
UNARTICULATED,MATH 024,,UCM
UNARTICULATED,CS 10A,,UCR
UNARTICULATED,CS 10B,,UCR
UNARTICULATED,MATH 9A; MATH 9B; MATH 9C,,UCR
UNARTICULATED,CMPSC 16,,UCSB
UNARTICULATED,CMPSC 24,,UCSB
UNARTICULATED,CMPSC 40,,UCSB
UNARTICULATED,MATH 3A,,UCSB
UNARTICULATED,MATH 3B,,UCSB
UNARTICULATED,MATH 4A,,UCSB
UNARTICULATED,MATH 4B,,UCSB
UNARTICULATED,CSE 12,,UCSC
UNARTICULATED,CSE 16,,UCSC
UNARTICULATED,CSE 30,,UCSC
UNARTICULATED,MATH 19A,,UCSC
UNARTICULATED,MATH 19B,,UCSC
UNARTICULATED,CSE 12,,UCSD
UNARTICULATED,CSE 20,,UCSD
UNARTICULATED,CSE 8B,,UCSD
UNARTICULATED,MATH 18,,UCSD
UNARTICULATED,MATH 20B,,UCSD
UNARTICULATED,MATH 20C,,UCSD
